code;name
002;Cooperativa Agrícola Ganadera Ltda. de Acevedo
003;Cooperativa Agropecuaria de Alcorta Ltda.
005;Sociedad Cooperativa Agropecuaria de Almafuerte Ltda.
007;Sociedad Cooperativa Unión Popular Ltda.
009;Cooperativa Agropecuaria de Armstrong Ltda.
011;Cooperativa Agropecuaria Mixta Irigoyen Ltda.
013;Cooperativa Agrícola Ganadera de Sunchales Ltda.
015;Cooperativa Agrícola Ganadera Ltda. de Ascensión
019;Productores Rurales del Sud Coop. Ltda.
029;Cooperativa Arrocera de San Salvador Ltda.
032;Agrícola Mixta de Cañada de Gómez Ltda.
036;Cooperativa Agropecuaria de Carabelas Ltda.
037;Cooperativa Agrícola Agricultores Unidos Ltda.
038;Cooperativa Agrícola Ganadera Ltda. de Adolfo Alsina
041;Cooperativa Agropecuaria de Carmen de Areco Ltda.
046;Graneros y Elevadores Argentinos de Colón S.C.L.
051;Cooperativa Agrícola Conesa Ltda.
059;Cooperativa Defensa de Agricultores Ltda.
064;La Emancipación Sociedad Cooperativa Mixta de Consumo, Prov., Transf. y Venta  Ltda.
067;Cooperativa Agropecuaria de Doblas Ltda.
069;Cooperativa Agrícola de El Arbolito Ltda.
071;Cooperativa Agropecuaria Unificada Ltda. de Elortondo
075;Cooperativa Agrícola Ganadera Ltda. de Espartillar
077;Unión Agrícola de Avellaneda Cooperativa Ltda.
082;COTAGRO Cooperativa Agropecuaria Ltda.
086;Cooperativa Agrícola de General Rojo Ltda.
087;Sociedad Cooperativa Agrícola Ganadera Ltda.
097;Cooperativa Agrícola La Vencedora Ltda.
106;Liga Agrícola Ganadera Cooperativa Ltda.
108;Cooperativa Agropecuaria Unión de Justiniano Posse
112;Cooperativa Agropecuaria La Segunda Ltda.
116;AGRONEXO Cooperativa Agrícola Ganadera de Lartigau y Tornquist Ltda.
122;Unión Agrícola de Leones Sociedad Cooperativa Ltda.
125;Cooperativa Agropecuaria de López Ltda.
128;Cooperativa Rural de General Viamonte Ltda.
129;ATREU-CO Cooperativa Agropecuaria Ltda.
130;Cooperativa Agropecuaria de Malabrigo Ltda.
133;Cooperativa Agropecuaria General Paz de Marcos Juárez
135;Cooperativa Agrícola Mixta de Margarita Ltda.
137;Cooperativa Agrícola Ltda. La Unión de Alfonso
139;Cooperativa Agrícola Ltda. de Cascallares
142;Cooperativa Agrícola Ganadera de Morteros Ltda.
143;Cooperativa Agropecuaria General Necochea Ltda.
147;Cooperativa Agrícola Ltda. de Oberá
149;Cooperativa Agraria Ltda. de Olavarría
154;Cooperativa Agrícola Ganadera e Industrial Patagones y Viedma
155;Cooperativa Agropecuaria Ltda. de Máximo Paz
162;La Alianza, Agrícola Ganadera Ltda.
164;Cooperativa Agropecuaria de Pozo del Molle Ltda.
165;Cooperativa Agrícola Ganadera Ltda. de Puán
171;Unión Agrícola de Romang Coop. Ltda.
173;Cooperativa Federal Agrícola Ganadera de San Justo Ltd.
177;Cooperativa Agropecuaria de San Antonio de Areco Ltda.
185;Cooperativa Agrícola y de Consumo Santa Rosa Ltda.
189;Cooperativa Agrícola Ganadera Ltda. San Miguel
193;Cooperativa Agraria Union y Fuerza de Santa Isabel y Teodelina Ltda.
200;Agricultores Unidos de Tancacha Cooperativa Agrícola Ltda.
201;Cooperativa Agropecuaria de Tandil Ltda.
207;Cooperativa Agraria de Tres Arroyos Ltda.
209;Cooperativa Rural Alfa Ltda.
210;Cooperativa Agropecuaria de La Violeta Ltda.
214;Cooperativa Agropecuaria de Venado Tuerto Ltda.
217;La Agrícola Regional Cooperativa Ltda. Agrop., de Consumo y de Serv. Públ.
219;Cooperativa Agropecuaria de Villa Mugueta Ltda.
222;Cooperativa Agrícola Unión Regional Ltda.
223;Cooperativa Agrícola y Ganadera La Trinidad Ltda.
229;Cooperativa Agropecuaria General San Martín Ltda.
230;Cooperativa Agrícola Ganadera Industrial Sombra de Toro Ltda.
232;Cooperativa Ganadera Agrícola y de Consumo Porteña Ltda.
235;Cooperativa La Ganadera General Ramírez Agrop., de Consumo y Prov. de Serv. Públ. Ltda.
236;Cooperativa Agrícola Ganadera Tambera Ltda. de Monje
242;Cooperativa Agropecuaria El Progreso Ltda.
245;Cooperativa Agrícola Ganadera de Dudignac Ltda.
259;Cooperativa Agrícola Ganadera y de Consumo Freyre Ltda
260;Cooperativa Ganadera de Río Negro y La Pampa Ltda.
262;Cooperativa Agrícola Mixta de Montecarlo Ltda.
264;Cooperativa Agropecuaria Unión y Progreso Ltda.
281;Cooperativa Agrícola Ganadera de Monte Buey Ltda
289;Cooperativa Comercialización y Transferencia de Colonia Juliá y Echarren
300;Cooperativa Ltda. de Tamberos La Humbertina
301;Cooperativa Agrícola Ganadera de Videla Ltda.
303;Cooperativa Agropecuaria de Darregueira Ltda.
304;Cooperativa Agrícola Ganadera Ltda. de Gobernador Crespo
305;Cooperativa Agropecuaria e Industrial de Rauch Ltda.
306;Cooperativa Granjeros Unidos de Chacabuco Ltda.
315;ACCION, Coop. Agropecuaria Ltda.
321;Cooperativa Agrícola Lucienville Ltda.
322;Cooperativa Agropecuaria Colonias Unidas Ltda.
350;Cooperativa Ganadera El Pronunciamiento Ltda.
408;Cooperativa  Agropecuaria El Progreso de Henderson Ltda.
410;Cooperativa de Servicios Públicos General José de San Martín Ltda
412;Cooperativa Agropecuaria Ganadera y de Consumo General San Martin Limitada
425;Cooperativa Tamberos Unidos Ltda.
429;Cooperativa Agropecuaria General Belgrano Ltda.
430;Cooperativa Agrícola Ganadera Ltda. de Elena
431;Cooperativa Agropecuaria Alba de Gigena Ltda.
