code;cuit;name
002;30528940931;COOP. AGRIC. GANAD. LTDA. DE ACEVEDO
003;30529717233;COOP. AGROP. DE ALCORTA LTDA.
005;30533553555;SOC.COOP. AGROP. DE ALMAFUERTE LDA
007;33526383309;SOC.COOP. "UNION POPULAR" LTDA.
009;33533717999;COOP. AGROPEC. DE ARMSTRONG LTDA
011;33543617119;COOP. AGROP MIXTA IRIGOYEN LTDA
013;30529478964;COOP. LTDA. AGR. GAN.DE SUNCHALES
015;30526896110;COOP. AGRIC. GAN. LTDA. DE ASCENSION
019;30511567455;PRODUC. RURALES DEL SUD COOP. AGROP
029;30533752035;COOP. ARROCERA DE S. SALVADOR LTDA
032;30529251331;COOP. AGRIC.MIXTA LTDA. C. GOMEZ
036;33525427639;COOP. AGROP. LTDA. DE CARABELAS
037;30530711184;COOP. AGRIC. AGR. UNIDOS LTDA
038;33530143959;COOP. AGRIC. GAN. LTDA. DE A. ALSINA
041;30530583534;COOP. AGROP. DE CARMEN DE ARECO L.
046;30581856942;GRAN. Y ELEV. ARG. DE COLON S.C.L.
051;33525689099;COOP. AGRICOLA CONESA LTDA.
059;30507878365;COOP. DEFENSA DE AGRICULTORES LT
064;33503225099;LA EMANCIPACIONS. C. MIXTA LTDA
067;30540904061;COOP. AGROPECUARIA DE DOBLAS LTDA
069;30530643766;COOP. AGRIC.DE "EL ARBOLITO" LT
071;30531205991;COOP. AGROP. UNIFIC. LTDA. DE ELORTONDO
075;30533342201;COOP. AGRC. GAN. LDA DE ESPARTILLAR
077;30501912405;UNION AGRICOLA DE AVELLANEDA COOP. L
082;30527151453;COTAGRO COOP. AGROP. LTDA.
086;30526151794;COOP. AGRICOLA DE GRAL.ROJO LTDA
087;30526535282;S.C. AGRIC. GANAD. LTDA. G. S. MARTIN
097;33522332459;COOP. AGRIC."LA VENCEDORA" LTDA
106;30503608975;LIGA AGRICOLA GANADERA COOP. LTDA
108;30511534492;COOP. AGROP. UNION DE J.POSSE L.
112;30564188804;COOP. AGROPEC."LA SEGUNDA" LTDA
116;30534362168;AGRONEXO COOP. AGRIC. GANAD. DE LAR
122;30526655709;UNION AGRIC. DE LEONES S.C.LTDA.
125;30508378765;COOP. AGROPECUARIA DE LOPEZ LTDA
128;30508743528;COOP. RURAL DE GRAL. VIAMONTE LTDA
129;30532620917;ATREUCO COOP. AGROP. LTDA.
130;30530920697;COOP. AGROP.DE MALABRIGO LTDA.
133;30532734912;COOP. AGROP.GRAL.PAZ DE M.JUAREZ LT
135;30532347110;COOP. AGRIC. MIXTA DE MARGARITA LTDA
137;30507119235;COOP. AGRIC. LTDA. "LA UNION" DE ALFON
139;30525418762;COOP. AGRIC. LTDA. M. CASCALLARES
142;30508127495;COOP. AGRIC. GAN.DE MORTEROS LTDA.
143;30506957970;COOP. AGROP. "GRAL NECOCHEA" LTDA.
147;30501838329;COOP. AGRIC. DE OBERA LTDA.
149;33525503629;COOP. AGRARIA LTDA.DE OLAVARRIA
154;33529300099;COOP. AG. GAND. PATAGONES Y VIEDMA
155;30530750597;COOP. AGROP. LTDA. DE MAXIMO PAZ
162;30525288826;LA ALIANZA COOP. AGRIC. GANAD.LTDA
164;30533440300;COOP. AGROP. "POZO DEL MOLLE" LTDA
165;33526349569;COOP. AGRIC. GANAD. LTDA DE PUAN
171;30527921992;UNION AGRIC. DE ROMANG COOP. LTDA
173;30530985624;COOP. FED. AG. GAN. DE SAN JUSTO LTD
177;30530144018;COOP. AGROP. DE S.A. DE ARECO LTDA.
185;30528180112;COOP. AGRIC. Y CONS. LTDA. STA. ROSA
189;30533418194;COOP. AGRIC. GAN. LTDA. "SAN MIGUEL"
193;30507964768;COOP. AGR. U Y FZA. S. ISABEL Y TEOD
200;33511642219;AGRIC. UNIDOS DE TANCACHA C.LTDA
201;30508360645;COOP. AGROPECUARIA DE TANDIL LTDA
207;30526111393;COOP. AGRARIA DE T.ARROYOS LTDA.
209;30527196422;COOP. RURAL LTDA. "ALFA".
210;30534951341;COOP. AGROPEC. DE LA VIOLETA LTDA
214;30531155242;COOP. AGROP. DE VENADO TUERTO LTDA
217;33504047089;LA AGRICOLA REGIONAL COOP. LTDA
222;30527703685;COOP. AGRIC. "UNION REGIONAL" LTDA
223;30528829739;COOP. AGRIC. Y GAN. LA TRINIDAD LTDA.
229;30532953835;COOP. AGROP G.S. MARTIN C.SUAREZ LT
230;30530871319;COOP. AGRIC. GAN. IND."S.TORO" LT.
232;30508728510;COOP. GAN. AGRIC. CONS. PORTEÑA LTDA
235;33533328119;COOP. LA GAN GRAL RAMIREZ AG CYP
236;30508720110;COOP. AGRIC. GAN. TAMB. LDA. DE MONJE
242;30513381944;COOP. AGROPECUARIA EL PROGRESO LTDA
245;30537699678;COOP. AGRIC. GANAD.DE DUDIGNAC LTD
259;30508982190;COOP. AGRIC. GAN. CONS. FREYRE LTDA
260;30589844137;COOP. GAN. RIO NEGRO LA PAMPA LDA
262;30528844746;COOP. AGRICOLA MIXTA DE M.CARLO L
264;30536121001;COOP. AGROP. UNION Y PROGRESO LTDA.
281;30531122115;COOP. AGRIC. GANAD. DE MONTE BUEY
289;33551779829;COOP. COMERC. Y TRANSF.LTDA.
300;30618805065;COOP. LTDA. DE TAM. LA HUMBERTINA
301;30531164667;COOP. AG. GANAD. DE VIDELA LTDA.
303;30517867264;COOP. AGROP. DE DARREGUEIRA LTDA.
304;30501821507;COOP. AGRIC. GAN. LTDA. GDOR CRESPO
305;30532166477;COOP. AGROP. E INDUST. DE RAUCH LTDA.
306;33509162439;COOP. AGROP. DE GRANJEROS UNIDOS DE
321;30526145417;COOP. AGRIC. LUCIENVILLE LTDA.
322;30517683554;COOP. AGROP. COLONIAS UNIDAS LTDA
350;30534262465;COOP. GANAD. EL PRONUNCIAMIENTO LIMIT
408;30507913411;COOP. AGROP. "EL PROGRESO" LTDA.
410;30554836166;COOP. SERV. PUB. GRAL. JOSE S. MARTIN
412;30534951414;COOP. AGRIC GANAD Y DE CONS GRAL SAN
425;30619635554;TAMBEROS UNIDOS COOP. LTDA.
429;30534917674;COOP. AGROPEC. GRAL BELGRANO LTD
430;30511539990;COOP. AGRIC. GAN.LTDA DE ELENA
431;30538998687;COOP. AGROP. ALBA DE GIGENA LTDA
433;30532846486;COOP. AGRIC. GAN. SANCTI SPIRITU LTDA
435;30531943909;COOP. AGRIC. GAN. DE BERABEVU LT
436;30533319315;COOP. AGRIC. DE MONTE MAIZ LTDA.
437;30532568567;COOP. AGRIC. GAN. LOS MOLINOS LTDA
438;30532930045;AGRIC. GANAD. LTDA DE BERROTARAN
439;30532044282;COOP. AGRIC. GAN.DE EL TREBOL LTDA
441;30508273181;COOP. AG. GAN. LTDA.G.LEHMANN
443;30533615909;COOP. AGROP.EMBAJADOR MARTINI
444;30533413524;COOP. AGROP. DE MURPHY LTDA.
451;30532811135;COOP. AGR. GANAD.DE SALADILLO LTDA
456;30533294606;COOP. AGROPECUARIA DE BIGAND LTDA
461;30511458028;COOP. AGROP. DE BOLIVAR LTDA.
463;30529377270;COOP. AGRIC. GAN. DE ARROYO CABRAL
471;30533721121;COOP. AGROP. DE PUJATO LTDA.
476;30536192626;COOP. AGROP. LA FEDERACION LTDA
478;30511521498;COOP. AGRIC. GAN. DE JUSTINIANO POS
479;30532481100;COOP. AGRIC.GANAD.BOUQUET LTDA
480;30536575673;COOP. AGROP. DE PROD. YCONS. SANTA LUCI
481;30530977435;COOP. FEDERAL AGRIC. GANAD. M. SUSA
482;30529491448;COOP. AGROP. FED. DE ALVAREZ Y PIÑ
486;30533324777;AGRIC.GANAD.LOS CONDORES LTDA
487;30533950694;COOP. AGROP C CASADO DE CASILDA LIMI
488;30533171970;COOP. AGRIC.GAN.LTDA.CDA.DEL UCLE
489;30533588421;COOP. AGRIC.GANAD.CARRERAS LTDA
490;33503870989;COOP. AGROP.CORONEL BOGADO
491;30534251994;COOP. AGRIC. GAN. FED. DE V. CAÑAS
492;30501221925;AGRIC.TAMBERA DE JAMES CRAIK LTDA.
495;30511904206;COOP. AGRIC.GAND.DE RAUCH LTDA.
496;30511479521;AGRIC. GAN. DE TANDIL Y VELA LTDA.
498;30503019791;COOP. AGR.GANAD.LA UNION LTDA.BAR
499;30532379187;COOP. TAMBERA Y AGRIC. I. ARG. CENTE
500;30533573823;COOP. AGR. GA. ESTEBAN PIACENZA DE ALT
501;30501383518;ASOCIACION UNION TAMBEROS COOP. LTD
505;30533422256;COOP. AGRICOLA GANADERA LEONES LTDA
506;30534395678;COOP. AGRIC. GAN. LEON SOLA LTDA.
507;30532458834;COOP. AGROPECUARIA DE LA PAZ LTDA
508;33532281259;COOP. FED. AG. GAN. DE URDINARRAIN LT
509;30526400301;COOP. AGRIC. MIXTA LA PROTECTORA LT
510;30533860164;COOP. AGROPECUARIA DE BOMBAL LTDA.
516;30508118690;COOP. AGRIC GANAD. B. DE IRIGOYEN LT
