brand;model;version
CHEVROLET;S10;CS 2.8 TD WT 4X2 MT
CHEVROLET;S10;CS 2.8 TD WT 4X4 MT
CHEVROLET;S10;CD 2.8 TD 4X2 WT MT
CHEVROLET;S10;CD 2.8 TD 4X4 WT MT
CHEVROLET;S10;CD 2.8 TD 4X4 WT AT     
FORD;RANGER;CS XL 2.0L T 4X2 MT D
FORD;RANGER;CS XL 2.0L T 4X4 MT D
FORD;RANGER;CD 4X2 XL 2.0L T MT D
FORD;RANGER;CD 4X4 XL 2.0L T MT D
FORD;RANGER;CD 4X2 XLS 2.0L T MT D
FORD;RANGER;CD 4X4 XLS 3.0L V6 10AT D
FORD;RANGER;CD 4X2 XLT 2.0L BIT 10AT D
FORD;RANGER;CD 4X4 XLT 2.0L BIT 10AT D
VOLKSWAGEN;AMAROK;Trendline TDI MT 4x2
VOLKSWAGEN;AMAROK;Trendline TDI MT 4x4
VOLKSWAGEN;AMAROK;Comfortline TDI MT 4x2
VOLKSWAGEN;AMAROK;Comfortline TDI AT 4x2
VOLKSWAGEN;AMAROK;Comfortline V6 AT 4x4
VOLKSWAGEN;AMAROK;Highline V6 AT 4x4
